Repeticion,Tiempo_us
1,   320860 
2,   276868 
3,   392643 
4,   272248 
5,   251918 
6,   242005 
7,   303833 
8,   271927 
9,   272528 
10,   297255 
11,   278175 
12,   273010 
13,   244503 
14,   289337 
15,   299912 
16,   326913 
17,   301200 
18,   278447 
19,   291684 
20,   274401 
21,   294956 
22,   277762 
23,   252371 
24,   252553 
25,   273731 
26,   276577 
27,   271298 
28,   260405 
29,   246654 
30,   270219 
