Repeticion,Tiempo_us
1,    71802 
2,    11472 
3,    85704 
4,    93094 
5,    11808 
6,    81468 
7,    11533 
8,    83637 
9,    11963 
10,    80873 
11,    88697 
12,    15122 
13,    80300 
14,    13458 
15,    77370 
16,    13615 
17,    81579 
18,    12238 
19,    13106 
20,    85544 
21,    13143 
22,    80501 
23,    11685 
24,    83919 
25,    11487 
26,    84373 
27,    16260 
28,    80041 
29,    87025 
30,    13284 
