Repeticion,Tiempo_us
1,  2684565 
2,  2311719 
3,  2482976 
4,  2476893 
5,  2465960 
6,  2325324 
7,  2325964 
8,  2347258 
9,  2421091 
10,  2368464 
11,  2350951 
12,  2353991 
13,  2267920 
14,  2326301 
15,  2417022 
16,  2354116 
17,  2294294 
18,  2314388 
19,  2290393 
20,  2344577 
21,  2344332 
22,  2295142 
23,  2311380 
24,  2331222 
25,  2465764 
26,  2633901 
27,  2449469 
28,  2592929 
29,  2610949 
30,  3099520 
