Repeticion,Tiempo_us
1,  3516541 
2,  2848753 
3,  2896184 
4,  2487026 
5,  2323942 
6,  2331651 
7,  2385612 
8,  2687350 
9,  2480145 
10,  2824686 
11,  2416304 
12,  2413440 
13,  2685604 
14,  2590551 
15,  2321281 
16,  2812728 
17,  2509204 
18,  2860139 
19,  3200903 
20,  2721991 
21,  2896423 
22,  2804282 
23,  2500775 
24,  2432672 
25,  3219210 
26,  3192623 
27,  2899839 
28,  2720118 
29,  2702633 
30,  2694296 
