Repeticion,Tiempo_us
1,   284670 
2,   298546 
3,   226210 
4,   281573 
5,   291012 
6,   284533 
7,   287084 
8,   218676 
9,   226975 
10,   286632 
11,   390466 
12,   289423 
13,   289489 
14,   385323 
15,   287715 
16,   279564 
17,   293941 
18,   215750 
19,   225550 
20,   377505 
21,   283727 
22,   302775 
23,   287485 
24,   284723 
25,   283812 
26,   217478 
27,   284998 
28,   307542 
29,   233637 
30,   373125 
