Repeticion,Tiempo_us
1,    23098 
2,    22978 
3,    23122 
4,    23651 
5,    47747 
6,    24827 
7,    23750 
8,    53776 
9,    24141 
10,    55344 
11,    23353 
12,    24441 
13,    58856 
14,    25663 
15,    55374 
16,    23812 
17,    23701 
18,    51935 
19,    22986 
20,    51223 
21,    22963 
22,    23253 
23,    52156 
24,    23608 
25,    24028 
26,    51251 
27,    23027 
28,    52135 
29,    23675 
30,    23158 
