Repeticion,Tiempo_us
1,  1650224 
2,  1615913 
3,  1683515 
4,  2025446 
5,  2204078 
6,  1783140 
7,  1773166 
8,  1741387 
9,  1579899 
10,  1631669 
11,  1593290 
12,  1595354 
13,  1621816 
14,  1655798 
15,  1656609 
16,  1680990 
17,  1731020 
18,  1648191 
19,  1674920 
20,  1805767 
21,  1663119 
22,  1656724 
23,  1715797 
24,  1903532 
25,  1766443 
26,  1714644 
27,  1722453 
28,  1686335 
29,  1638863 
30,  1665036 
