Repeticion,Tiempo_us
1,    31317 
2,    29953 
3,    35675 
4,    38715 
5,    31495 
6,    31939 
7,    38238 
8,    42859 
9,    34316 
10,    45210 
11,    36556 
12,    60341 
13,    37340 
14,    29876 
15,    40554 
16,    46185 
17,    34336 
18,    55118 
19,    33820 
20,    45288 
21,    41274 
22,    23969 
23,    33702 
24,    46889 
25,    40316 
26,    50713 
27,    45999 
28,    43999 
29,    50295 
30,    35500 
