Repeticion,Tiempo_us
1,   229951 
2,   141296 
3,   155221 
4,   157899 
5,   140585 
6,   139726 
7,   139941 
8,   175059 
9,   146269 
10,   164386 
11,   152500 
12,   147778 
13,   151754 
14,   154229 
15,   152626 
16,   175085 
17,   151012 
18,   142170 
19,   151510 
20,   159905 
21,   143454 
22,   157285 
23,   143821 
24,   147329 
25,   144282 
26,   149859 
27,   149919 
28,   149273 
29,   138943 
30,   139458 
