Repeticion,Tiempo_us
1,  3881467 
2,  3526494 
3,  3502990 
4,  3582442 
5,  3840131 
6,  3611160 
7,  3481941 
8,  3508020 
9,  3352349 
10,  3369656 
11,  3656621 
12,  3310845 
13,  3536343 
14,  3512419 
15,  3281195 
16,  3293406 
17,  3185008 
18,  3209927 
19,  3442663 
20,  3531919 
21,  3555504 
22,  3297632 
23,  3266045 
24,  3659594 
25,  3665752 
26,  3595622 
27,  3263132 
28,  3273060 
29,  3232868 
30,  3162479 
