Repeticion,Tiempo_us
1,   111843 
2,    96591 
3,    99289 
4,   106587 
5,   100096 
6,    96768 
7,    98216 
8,    96390 
9,    97549 
10,    97405 
11,   100700 
12,    97804 
13,   100758 
14,    99046 
15,    95203 
16,   101077 
17,    93692 
18,    94590 
19,   100812 
20,    97508 
21,    95122 
22,   102111 
23,   100276 
24,   104245 
25,    96960 
26,   108574 
27,   100292 
28,    96295 
29,    96659 
30,   104129 
