Repeticion,Tiempo_us
1,   311795 
2,   334669 
3,   273355 
4,   271185 
5,   290684 
6,   296057 
7,   292252 
8,   276610 
9,   273579 
10,   288051 
11,   286269 
12,   283705 
13,   290999 
14,   296689 
15,   284492 
16,   288039 
17,   274713 
18,   275938 
19,   292762 
20,   276982 
21,   305918 
22,   297420 
23,   272830 
24,   301642 
25,   322929 
26,   276255 
27,   282010 
28,   287013 
29,   283690 
30,   304971 
