Repeticion,Tiempo_us
1,    24123 
2,    26904 
3,    37552 
4,    35044 
5,    32944 
6,    33245 
7,    30400 
8,    35847 
9,    36396 
10,    39840 
11,    39755 
12,    38781 
13,    22363 
14,    18899 
15,    21992 
16,    42798 
17,    32457 
18,    31330 
19,    22444 
20,    43688 
21,    23617 
22,    33164 
23,    20497 
24,    27041 
25,    31060 
26,    32442 
27,    40908 
28,    36298 
29,    30045 
30,    52862 
